Execution Times,Deadline,Average
0.113,,
0.109,,
0.113,,
0.11,,
0.102,,
0.11,,
0.112,,
0.108,,
0.109,,
0.111,,
0.113,,
0.105,,
0.112,,
0.112,,
0.106,,
0.112,,
0.107,,
0.112,,
0.113,,
0.111,,
0.114,,
0.109,,
0.096,,
0.116,,
0.106,,
0.102,,
0.105,,
0.1,,
0.109,,
0.111,,
0.113,,
0.112,,
0.104,,
0.111,,
0.11,,
0.114,,
0.104,,
0.1,,
0.104,,
0.11,,
0.111,,
0.115,,
0.139,,
0.106,,
0.104,,
0.109,,
0.116,,
0.121,,
0.123,,
0.121,,
0.144,,
0.148,,
0.111,,
0.124,,
0.115,,
0.114,,
0.11,,
0.114,,
0.112,,
0.111,,
0.102,,
0.104,,
0.116,,
0.113,,
0.114,,
0.115,,
0.115,,
0.109,,
0.104,,
0.112,,
0.113,,
0.114,,
0.113,,
0.112,,
0.114,,
0.115,,
0.108,,
0.111,,
0.106,,
0.115,,
0.141,,
0.119,,
0.118,,
0.113,,
0.111,,
0.112,,
0.112,,
0.116,,
0.113,,
0.101,,
0.106,,
0.11,,
0.113,,
0.106,,
0.107,,
0.138,,
0.109,,
0.104,,
0.116,,
0.123,,
0.107,,
0.114,,
0.11,,
0.111,,
0.108,,
0.108,,
0.111,,
0.103,,
0.112,,
0.107,,
0.111,,
0.112,,
0.113,,
0.111,,
0.113,,
0.115,,
0.113,,
0.112,,
0.113,,
0.102,,
0.113,,
0.113,,
0.107,,
0.107,,
0.143,,
0.146,,
0.115,,
0.109,,
0.1,,
0.125,,
0.135,,
0.131,,
0.105,,
0.119,,
0.109,,
0.113,,
0.1,,
0.105,,
0.107,,
0.107,,
0.111,,
0.105,,
0.111,,
0.115,,
0.113,,
0.133,,
0.119,,
0.113,,
0.117,,
0.104,,
0.111,,
0.105,,
0.113,,
0.117,,
0.148,,
0.146,,
0.113,,
0.113,,
0.107,,
0.111,,
0.117,,
0.111,,
0.113,,
0.109,,
0.135,,
0.145,,
0.104,,
0.107,,
0.113,,
0.115,,
0.113,,
0.121,,
0.109,,
0.113,,
0.115,,
0.119,,
0.115,,
0.115,,
0.1,,
0.119,,
0.113,,
0.113,,
0.102,,
0.109,,
0.111,,
0.111,,
0.111,,
0.111,,
0.111,,
0.115,,
0.137,,
0.115,,
0.113,,
0.113,,
0.109,,
0.117,,
0.113,,
0.117,,
0.107,,
0.104,,
0.102,,
0.117,,
0.102,,
0.111,,
0.105,,
0.139,,
0.137,,
0.135,,
0.141,,
0.105,,
0.109,,
0.109,,
0.115,,
0.125,,
0.133,,
0.127,,
0.117,,
0.113,,
0.102,,
0.117,,
0.105,,
0.105,,
0.113,,
0.102,,
0.107,,
0.107,,
0.109,,
0.107,,
0.113,,
0.111,,
0.113,,
0.111,,
0.102,,
0.105,,
0.113,,
0.107,,
0.107,,
0.111,,
0.113,,
0.102,,
0.111,,
0.111,,
0.107,,
0.113,,
0.1,,
0.105,,
0.115,,
0.105,,
0.109,,
0.113,,
0.111,,
0.104,,
0.117,,
0.113,,
0.111,,
0.113,,
0.104,,
0.113,,
0.115,,
0.115,,
0.113,,
0.107,,
0.113,,
0.113,,
0.115,,
0.111,,
0.104,,
0.104,,
0.105,,
0.113,,
0.113,,
0.113,,
0.115,,
0.107,,
0.113,,
0.111,,
0.105,,
0.113,,
0.102,,
0.105,,
0.113,,
0.111,,
0.113,,
0.109,,
0.105,,
0.105,,
0.113,,
0.105,,
0.105,,
0.105,,
0.105,,
0.102,,
0.102,,
0.102,,
0.102,,
0.113,,
0.105,,
0.105,,
0.102,,
0.109,,
0.113,,
0.113,,
0.113,,
0.105,,
0.109,,
0.113,,
0.113,,
0.109,,
0.105,,
0.109,,
0.113,,
0.109,,
0.105,,
0.105,,
0.102,,
0.105,,
0.105,,
0.105,,
0.105,,
0.109,,
0.109,,
0.113,,
0.109,,
0.117,,
0.113,,
0.113,,
0.102,,
0.102,,
0.102,,
0.105,,
0.113,,
0.113,,
0.113,,
0.113,,
0.105,,
0.109,,
0.105,,
0.102,,
0.105,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.105,,
0.113,,
0.113,,
0.102,,
0.105,,
0.117,,
0.109,,
0.109,,
0.109,,
0.105,,
0.113,,
0.109,,
0.098,,
0.113,,
0.109,,
0.109,,
0.09,,
0.109,,
0.109,,
0.105,,
0.113,,
0.109,,
0.113,,
0.113,,
0.109,,
0.113,,
0.109,,
0.113,,
0.105,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.113,,
0.109,,
0.113,,
0.102,,
0.113,,
0.113,,
0.113,,
0.113,,
0.102,,
0.109,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.117,,
0.121,,
0.152,,
0.105,,
0.109,,
0.105,,
0.102,,
0.113,,
0.102,,
0.102,,
0.113,,
0.102,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.105,,
0.109,,
0.109,,
0.102,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.105,,
0.113,,
0.113,,
0.109,,
0.109,,
0.102,,
0.113,,
0.113,,
0.105,,
0.109,,
0.102,,
0.109,,
0.105,,
0.105,,
0.113,,
0.109,,
0.109,,
0.105,,
0.113,,
0.102,,
0.109,,
0.102,,
0.109,,
0.105,,
0.109,,
0.113,,
0.117,,
0.102,,
0.141,,
0.113,,
0.129,,
0.109,,
0.117,,
0.113,,
0.109,,
0.102,,
0.109,,
0.117,,
0.113,,
0.105,,
0.113,,
0.102,,
0.102,,
0.105,,
0.109,,
0.109,,
0.113,,
0.113,,
0.109,,
0.113,,
0.113,,
0.109,,
0.113,,
0.105,,
0.113,,
0.113,,
0.109,,
0.109,,
0.113,,
0.113,,
0.105,,
0.105,,
0.109,,
0.102,,
0.113,,
0.113,,
0.109,,
0.105,,
0.105,,
0.105,,
0.105,,
0.105,,
0.113,,
0.109,,
0.109,,
0.102,,
0.109,,
0.109,,
0.105,,
0.109,,
0.105,,
0.109,,
0.113,,
0.102,,
0.113,,
0.113,,
0.109,,
0.117,,
0.117,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.117,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.109,,
0.105,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.113,,
0.109,,
0.117,,
0.113,,
0.105,,
0.113,,
0.113,,
0.117,,
0.129,,
0.117,,
0.105,,
0.113,,
0.121,,
0.129,,
0.121,,
0.121,,
0.117,,
0.098,,
0.117,,
0.113,,
0.102,,
0.102,,
0.113,,
0.105,,
0.113,,
0.117,,
0.105,,
0.109,,
0.105,,
0.109,,
0.113,,
0.105,,
0.105,,
0.105,,
0.117,,
0.109,,
0.105,,
0.113,,
0.113,,
0.113,,
0.105,,
0.109,,
0.113,,
0.117,,
0.098,,
0.113,,
0.109,,
0.109,,
0.113,,
