RGB Execution Times,RGB Average
18.819,18.8
18.826,18.8
19.26,18.8
18.792,18.8
19.357,18.8
18.878,18.8
19.321,18.8
18.881,18.8
18.861,18.8
19.257,18.8
18.792,18.8
19.38,18.8
18.769,18.8
19.229,18.8
18.787,18.8
19.232,18.8
18.869,18.8
18.863,18.8
19.238,18.8
18.859,18.8
19.243,18.8
18.85,18.8
19.283,18.8
18.799,18.8
19.234,18.8
18.851,18.8
18.759,18.8
19.314,18.8
18.848,18.8
19.323,18.8
18.784,18.8
19.249,18.8
18.776,18.8
18.771,18.8
19.271,18.8
18.775,18.8
19.22,18.8
18.834,18.8
19.214,18.8
18.773,18.8
19.585,18.8
18.951,18.8
19.049,18.8
19.543,18.8
18.954,18.8
19.435,18.8
19.079,18.8
19.547,18.8
18.978,18.8
19.522,18.8
19.388,18.8
19.5,18.8
19.328,18.8
19.107,18.8
19.457,18.8
18.962,18.8
19.354,18.8
18.789,18.8
18.772,18.8
19.253,18.8
18.853,18.8
19.491,18.8
18.961,18.8
19.475,18.8
19.067,18.8
19.474,18.8
18.948,18.8
18.907,18.8
19.45,18.8
19.046,18.8
19.458,18.8
18.789,18.8
19.261,18.8
18.789,18.8
18.77,18.8
19.258,18.8
18.759,18.8
19.236,18.8
18.763,18.8
19.46,18.8
19.24,18.8
19.364,18.8
18.973,18.8
18.875,18.8
19.329,18.8
18.76,18.8
19.221,18.8
18.777,18.8
19.233,18.8
18.857,18.8
19.23,18.8
18.783,18.8
18.764,18.8
19.237,18.8
18.871,18.8
19.704,18.8
18.987,18.8
18.916,18.8
18.786,18.8
18.808,18.8
18.791,18.8
18.898,18.8
18.895,18.8
18.78,18.8
18.854,18.8
18.76,18.8
18.773,18.8
18.853,18.8
18.809,18.8
18.98,18.8
18.883,18.8
18.823,18.8
18.801,18.8
18.751,18.8
18.816,18.8
18.807,18.8
18.791,18.8
18.762,18.8
18.777,18.8
18.855,18.8
18.801,18.8
18.773,18.8
18.766,18.8
19.057,18.8
19.383,18.8
19.203,18.8
18.945,18.8
18.869,18.8
18.775,18.8
19.143,18.8
19.457,18.8
18.982,18.8
18.816,18.8
18.926,18.8
18.787,18.8
18.941,18.8
18.768,18.8
18.85,18.8
18.783,18.8
18.783,18.8
18.893,18.8
18.77,18.8
18.869,18.8
19.189,18.8
19.203,18.8
19.1,18.8
18.955,18.8
18.867,18.8
18.928,18.8
18.918,18.8
18.77,18.8
18.768,18.8
18.789,18.8
18.859,18.8
19.24,18.8
19.188,18.8
18.779,18.8
18.818,18.8
18.768,18.8
19.127,18.8
18.902,18.8
18.812,18.8
18.781,18.8
18.938,18.8
19.248,18.8
19.078,18.8
18.852,18.8
18.764,18.8
18.766,18.8
18.832,18.8
18.916,18.8
19.143,18.8
18.869,18.8
18.787,18.8
19.066,18.8
18.898,18.8
18.803,18.8
18.904,18.8
18.848,18.8
18.928,18.8
18.785,18.8
18.76,18.8
18.832,18.8
18.875,18.8
18.967,18.8
18.768,18.8
18.762,18.8
18.801,18.8
18.771,18.8
19.088,18.8
19.053,18.8
18.965,18.8
18.781,18.8
18.758,18.8
18.84,18.8
18.963,18.8
18.809,18.8
18.812,18.8
18.752,18.8
18.854,18.8
18.869,18.8
18.805,18.8
18.844,18.8
18.783,18.8
18.771,18.8
19.154,18.8
19.131,18.8
19.131,18.8
19.086,18.8
18.779,18.8
18.777,18.8
18.777,18.8
19.102,18.8
19.055,18.8
19.115,18.8
19.145,18.8
18.857,18.8
18.771,18.8
18.846,18.8
18.959,18.8
18.752,18.8
18.771,18.8
18.785,18.8
18.83,18.8
18.766,18.8
18.752,18.8
18.846,18.8
18.803,18.8
18.768,18.8
18.752,18.8
18.783,18.8
18.801,18.8
18.846,18.8
18.756,18.8
18.775,18.8
18.846,18.8
18.848,18.8
18.797,18.8
19.041,18.8
18.988,18.8
19.057,18.8
18.793,18.8
18.777,18.8
18.787,18.8
18.848,18.8
18.744,18.8
18.773,18.8
18.764,18.8
18.797,18.8
18.805,18.8
18.818,18.8
18.756,18.8
18.791,18.8
18.777,18.8
18.85,18.8
18.764,18.8
18.859,18.8
18.787,18.8
18.773,18.8
18.859,18.8
18.791,18.8
18.848,18.8
18.812,18.8
18.816,18.8
18.807,18.8
18.861,18.8
18.873,18.8
18.895,18.8
18.781,18.8
18.783,18.8
18.785,18.8
18.814,18.8
18.779,18.8
18.842,18.8
18.797,18.8
18.783,18.8
18.857,18.8
18.795,18.8
18.848,18.8
18.758,18.8
18.762,18.8
18.875,18.8
18.785,18.8
18.762,18.8
18.77,18.8
18.867,18.8
18.754,18.8
18.773,18.8
18.766,18.8
18.75,18.8
18.773,18.8
18.84,18.8
18.859,18.8
18.84,18.8
18.84,18.8
18.758,18.8
18.758,18.8
18.77,18.8
18.828,18.8
18.781,18.8
18.777,18.8
18.766,18.8
18.805,18.8
18.754,18.8
18.938,18.8
18.793,18.8
18.762,18.8
18.875,18.8
18.762,18.8
18.781,18.8
18.77,18.8
18.785,18.8
18.754,18.8
18.773,18.8
18.852,18.8
18.758,18.8
18.754,18.8
18.785,18.8
18.746,18.8
18.766,18.8
18.902,18.8
18.789,18.8
18.785,18.8
18.906,18.8
18.785,18.8
18.785,18.8
18.867,18.8
18.832,18.8
18.855,18.8
18.77,18.8
18.777,18.8
18.844,18.8
18.777,18.8
18.781,18.8
18.852,18.8
18.789,18.8
18.844,18.8
18.871,18.8
18.773,18.8
18.777,18.8
18.797,18.8
18.887,18.8
18.871,18.8
18.762,18.8
18.848,18.8
18.773,18.8
18.773,18.8
18.906,18.8
18.785,18.8
18.777,18.8
18.781,18.8
18.766,18.8
18.766,18.8
18.82,18.8
18.785,18.8
18.754,18.8
18.844,18.8
18.785,18.8
18.754,18.8
18.793,18.8
18.785,18.8
18.773,18.8
18.914,18.8
18.84,18.8
18.852,18.8
18.77,18.8
18.789,18.8
18.777,18.8
18.773,18.8
18.789,18.8
18.789,18.8
18.781,18.8
18.852,18.8
18.777,18.8
18.777,18.8
18.781,18.8
18.754,18.8
18.781,18.8
18.777,18.8
18.781,18.8
18.805,18.8
18.859,18.8
18.77,18.8
18.758,18.8
18.797,18.8
18.762,18.8
18.848,18.8
18.766,18.8
18.773,18.8
18.766,18.8
18.781,18.8
18.777,18.8
18.785,18.8
18.762,18.8
19.141,18.8
19.078,18.8
19.195,18.8
19.438,18.8
18.77,18.8
18.758,18.8
18.871,18.8
18.824,18.8
18.852,18.8
18.832,18.8
18.797,18.8
18.836,18.8
18.785,18.8
18.883,18.8
18.785,18.8
18.793,18.8
18.777,18.8
18.762,18.8
18.789,18.8
18.848,18.8
18.77,18.8
18.754,18.8
18.852,18.8
18.863,18.8
18.77,18.8
18.758,18.8
18.777,18.8
18.766,18.8
18.754,18.8
18.75,18.8
18.855,18.8
18.746,18.8
18.75,18.8
18.777,18.8
18.758,18.8
18.758,18.8
18.852,18.8
18.918,18.8
18.77,18.8
18.742,18.8
18.762,18.8
18.836,18.8
18.766,18.8
18.77,18.8
18.742,18.8
18.77,18.8
18.77,18.8
18.754,18.8
18.781,18.8
18.754,18.8
18.836,18.8
18.758,18.8
18.832,18.8
18.805,18.8
18.758,18.8
18.766,18.8
18.934,18.8
19.098,18.8
19.074,18.8
19.129,18.8
19.082,18.8
19.121,18.8
18.93,18.8
18.945,18.8
18.902,18.8
18.746,18.8
18.844,18.8
18.949,18.8
18.965,18.8
18.828,18.8
18.766,18.8
18.762,18.8
18.836,18.8
18.844,18.8
18.773,18.8
18.77,18.8
18.84,18.8
18.758,18.8
18.77,18.8
18.754,18.8
18.766,18.8
18.762,18.8
18.762,18.8
18.852,18.8
18.758,18.8
18.766,18.8
18.77,18.8
18.766,18.8
18.758,18.8
18.777,18.8
18.777,18.8
18.766,18.8
18.754,18.8
18.789,18.8
18.844,18.8
18.773,18.8
18.77,18.8
18.762,18.8
18.766,18.8
18.758,18.8
18.832,18.8
18.742,18.8
18.867,18.8
18.762,18.8
18.844,18.8
18.781,18.8
18.844,18.8
18.766,18.8
18.773,18.8
18.758,18.8
18.789,18.8
18.77,18.8
18.762,18.8
18.785,18.8
18.852,18.8
18.785,18.8
18.781,18.8
18.863,18.8
18.777,18.8
18.77,18.8
18.77,18.8
18.766,18.8
18.781,18.8
18.871,18.8
18.773,18.8
18.773,18.8
18.781,18.8
18.875,18.8
18.766,18.8
18.758,18.8
18.773,18.8
18.77,18.8
18.762,18.8
18.785,18.8
18.75,18.8
18.793,18.8
18.77,18.8
18.773,18.8
18.785,18.8
18.766,18.8
18.766,18.8
18.77,18.8
18.781,18.8
18.785,18.8
18.766,18.8
18.762,18.8
18.75,18.8
18.848,18.8
18.754,18.8
18.754,18.8
18.766,18.8
18.77,18.8
18.781,18.8
18.766,18.8
18.766,18.8
18.805,18.8
18.766,18.8
18.738,18.8
18.758,18.8
18.773,18.8
18.898,18.8
18.867,18.8
18.859,18.8
18.867,18.8
18.875,18.8
18.855,18.8
18.785,18.8
18.809,18.8
19.082,18.8
18.91,18.8
18.934,18.8
18.969,18.8
18.969,18.8
19.051,18.8
18.965,18.8
18.977,18.8
19.059,18.8
18.867,18.8
18.789,18.8
18.875,18.8
18.844,18.8
18.902,18.8
18.879,18.8
18.852,18.8
18.852,18.8
18.766,18.8
18.852,18.8
18.781,18.8
18.773,18.8
18.793,18.8
18.871,18.8
18.754,18.8
18.754,18.8
18.766,18.8
18.781,18.8
18.781,18.8
18.75,18.8
18.809,18.8
18.781,18.8
18.77,18.8
18.863,18.8
18.91,18.8
18.914,18.8
19.055,18.8
18.773,18.8
18.879,18.8
18.801,18.8
18.789,18.8
18.781,18.8
